Output from Varactor Board,,,
"27-Jul-2021, 12:51:23",,,
Computer CLD-EMMAS-01,,,
,,,
Time,Channel 1,Channel 2,Channel 3
1,0.9093,-0.98999,0.46171
1.0001,0.9092,-0.99004,0.46171
1.0002,0.9091,-0.99009,0.46171
1.0003,0.90901,-0.99014,0.46171
1.0005,0.90891,-0.99019,0.46171
1.0006,0.90882,-0.99024,0.46171
1.0007,0.90872,-0.99028,0.46171
1.0008,0.90862,-0.99033,0.46171
1.0009,0.90853,-0.99038,0.46171
1.001,0.90843,-0.99043,0.46171
1.0012,0.90833,-0.99048,0.46171
1.0013,0.90824,-0.99052,0.46171
1.0014,0.90814,-0.99057,0.46172
1.0015,0.90804,-0.99062,0.46172
1.0016,0.90794,-0.99067,0.46172
1.0017,0.90785,-0.99071,0.46172
1.0019,0.90775,-0.99076,0.46172
1.002,0.90765,-0.99081,0.46172
1.0021,0.90756,-0.99085,0.46172
1.0022,0.90746,-0.9909,0.46172
1.0023,0.90736,-0.99095,0.46172
1.0024,0.90727,-0.99099,0.46172
1.0025,0.90717,-0.99104,0.46173
1.0027,0.90707,-0.99109,0.46173
1.0028,0.90697,-0.99113,0.46173
1.0029,0.90688,-0.99118,0.46173
1.003,0.90678,-0.99123,0.46173
1.0031,0.90668,-0.99127,0.46173
1.0032,0.90658,-0.99132,0.46174
1.0034,0.90649,-0.99136,0.46174
1.0035,0.90639,-0.99141,0.46174
1.0036,0.90629,-0.99145,0.46174
1.0037,0.90619,-0.9915,0.46174
1.0038,0.90609,-0.99154,0.46175
1.0039,0.906,-0.99159,0.46175
1.004,0.9059,-0.99163,0.46175
1.0042,0.9058,-0.99168,0.46175
1.0043,0.9057,-0.99172,0.46176
1.0044,0.9056,-0.99177,0.46176
1.0045,0.90551,-0.99181,0.46176
1.0046,0.90541,-0.99186,0.46176
1.0047,0.90531,-0.9919,0.46177
1.0049,0.90521,-0.99194,0.46177
1.005,0.90511,-0.99199,0.46177
1.0051,0.90501,-0.99203,0.46177
1.0052,0.90492,-0.99208,0.46178
1.0053,0.90482,-0.99212,0.46178
1.0054,0.90472,-0.99216,0.46178
1.0056,0.90462,-0.99221,0.46179
1.0057,0.90452,-0.99225,0.46179
1.0058,0.90442,-0.99229,0.46179
1.0059,0.90432,-0.99233,0.4618
1.006,0.90423,-0.99238,0.4618
1.0061,0.90413,-0.99242,0.4618
1.0062,0.90403,-0.99246,0.46181
1.0064,0.90393,-0.99251,0.46181
1.0065,0.90383,-0.99255,0.46182
1.0066,0.90373,-0.99259,0.46182
1.0067,0.90363,-0.99263,0.46182
1.0068,0.90353,-0.99267,0.46183
1.0069,0.90343,-0.99272,0.46183
1.0071,0.90333,-0.99276,0.46184
1.0072,0.90324,-0.9928,0.46184
1.0073,0.90314,-0.99284,0.46185
1.0074,0.90304,-0.99288,0.46185
